P122144 rev 3: EBOM
, , , , , , , , , , , , , , , , , , ,
Level,부품 번호,개정,수량,Unit Of Measure,부품 명,상태,Ref Des,공정,쪽보드,="F/N",RoHS 결과,SAP반제품코드,현재고(A등급),현재고(B등급),부품 상태,이동평균가,구매업체명,부품그룹,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R203,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R204,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R205,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R185,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R679,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R681,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R685,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R686,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R682,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R680,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R689,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R693,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R695,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R696,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R694,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R692,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
